"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Long-term Catheter Measure Score","Long-term Catheter Reason for No Score (See Footnotes File)","Long-term Catheter Achievement Measure Rate","Number of Patients Included in Long-term Catheter Measure Score Achievement Period","Long-term Catheter Achievement Period Numerator","Long-term Catheter Achievement Period Denominator","Long-term Catheter Improvement Measure Rate","Long-term Catheter Improvement Period Numerator","Long-term Catheter Improvement Period Denominator","Long-term Catheter Measure Score Applied","National Average Long-term Catheter Measure Score","Kt/V Comprehensive Measure Score","Kt/V Comprehensive Reason for No Score (See Footnotes File)","Kt/V Comprehensive Achievement Measure Rate","Number of Patients Included in Kt/V Comprehensive Measure Score Achievement Period","Kt/V Comprehensive Achievement Period Numerator","Kt/V Comprehensive Achievement Period Denominator","Kt/V Comprehensive Improvement Measure Rate","Kt/V Comprehensive Improvement Period Numerator","Kt/V Comprehensive Improvement Period Denominator","Kt/V Comprehensive Measure Score Applied","National Average Kt/V Comprehensive Measure Score","Hypercalcemia Measure Score","Hypercalcemia Reason for No Score (See Footnotes File)","National Average Hypercalcemia Measure Score","NHSN BSI Measure Score","NHSN BSI Reason for No Score (See Footnotes File)","NHSN BSI Achievement Measure Ratio","Number of Patients Included in NHSN BSI Measure Score Achievement Period","NHSN BSI Achievement Period Observed Event Number","NHSN BSI Achievement Period Expected Event Number","NHSN BSI Improvement Measure Ratio","NHSN BSI Improvement Period Observed Event Number","NHSN BSI Improvement Period Expected Event Number","NHSN BSI Measure Score Applied","National Average NHSN BSI Measure Score","NHSN Dialysis Event Reporting Measure Score","NHSN Dialysis Event Reason for No Score (See Footnotes File)","NHSN Dialysis Event Reporting Number of Months Reported","ICH CAHPS Measure Score","ICH CAHPS Reason for No Score (See Footnotes File)","ICH CAHPS Achievement Period Count of Completed Surveys","ICH CAHPS Improvement Period Count of Completed Surveys","ICH CAHPS Measure Score Applied","National Average ICH CAHPS Measure Score","ICH CAHPS Neph Comm and Caring Achievement Rate","ICH CAHPS Neph Comm and Caring Improvement Rate","ICH CAHPS Neph Comm and Caring Measure Score Applied","ICH CAHPS Quality of Dialysis Care and Ops Achievement Rate","ICH CAHPS Quality of Dialysis Care and Ops Improvement Rate","ICH CAHPS Quality of Dialysis Care and Ops Measure Score Applied","ICH CAHPS Providing Info to Patients Achievement Rate","ICH CAHPS Providing Info to Patients Improvement Rate","ICH CAHPS Providing Info to Patients Measure Score Applied","ICH CAHPS Overall Rating of Neph Achievement Rate","ICH CAHPS Overall Rating of Neph Improvement Rate","ICH CAHPS Overall Rating of Neph Measure Score Applied","ICH CAHPS Overall Rating of Dialysis Staff Achievement Rate","ICH CAHPS Overall Rating of Dialysis Staff Improvement Rate","ICH CAHPS Overall Rating of Dialysis Staff Measure Score Applied","ICH CAHPS Overall Rating of Dialysis Facility Achievement Rate","ICH CAHPS Overall Rating of Dialysis Facility Improvement Rate","ICH CAHPS Overall Rating of Dialysis Facility Measure Score Applied","Standardized Readmission Ratio (SRR) Measure Score","SRR Reason for No Score (See Footnotes File)","SRR Achievement Measure Ratio","Number of Index Discharges in SRR Achievement Period","SRR Achievement Period Numerator","SRR Achievement Period Denominator","SRR Improvement Measure Ratio","SRR Improvement Period Numerator","SRR Improvement Period Denominator","SRR Measure Score Applied","National Average SRR Measure Score","Standardized Transfusion Ratio (STrR) Measure Score","STrR Reason for No Score (See Footnotes File)","STrR Achievement Measure Ratio","Number of Patient-Years at Risk in STrR Achievement Period","STrR Achievement Period Numerator","STrR Achievement Period Denominator","STrR Improvement Measure Ratio","STrR Improvement Period Numerator","STrR Improvement Period Denominator","STrR Measure Score Applied","National Average STrR Measure Score","Standardized Hospitalization Ratio (SHR) Measure Score","SHR Reason for No Score (See Footnotes File)","SHR Achievement Measure Ratio","Number of Patient-Years at Risk in SHR Achievement Period","SHR Achievement Period Numerator","SHR Achievement Period Denominator","SHR Improvement Measure Ratio","SHR Improvement Period Numerator","SHR Improvement Period Denominator","SHR Measure Score Applied","National Average SHR Measure Score","Clinical Depression Screening and Follow-up Improvement Period Numerator","Clinical Depression Screening and Follow-up Improvement Period Denominator","Clinical Depression Screening and Follow-up Achievement Period Denominator","Clinical Depression Screening and Follow-up Achievement Period Numerator","Clinical Depression Screening and Follow-up Improvement Measure Rate","Clinical Depression Screening and Follow-up Achievement Measure Rate","Clinical Depression Screening and Follow-up Measure Score","Clinical Depression Screening and Follow-up Reason for No Score (See Footnotes File)","Clinical Depression Screening and Follow-up Measure Score Applied","National Average CD Measure Score","MedRec Measure Score","MedRec Reason for No Score (See Footnotes File)","National Average MedRec Measure Score","PPPW Achievement Period Numerator","PPPW Achievement Period Denominator","PPPW Improvement Period Numerator","PPPW Improvement Period Denominator","PPPW Improvement Measure Rate","PPPW Achievement Measure Rate","PPPW Measure Score","PPPW Reason for No Score (See Footnotes File)","PPPW Measure Score Applied","National Average PPPW Measure Score","COVID-19 HCP Measure Score","COVID-19 HCP Reason for No Score (See Footnotes File)","COVID-19 HCP Number of Months Reported","National Average COVID-19 HCP Measure Score","FCHE Measure Score","FCHE Reason for No Score (See Footnotes File)","FCHE Number of Domains Reported","National Average FCHE Measure Score","Total Performance Score","PY2026 Payment Reduction Percentage","CMS Certification Date","Ownership as of December 31, 2024","Date of Ownership Record Update"
"032302 MARICOPA MEDICAL CTR - DIALYSIS","032302","030022","2525 E ROOSEVELT ST","PHOENIX","AZ","85008","15","10","-","0.0255","67","18","706","0.0243","17","701","Achievement","3","9","-","0.9941","49","507","510","0.9882","504","510","Achievement","6","10","-","10","5","-","0.375","69","1","2.665","0.000","0","2.738","Achievement","6","10","-","12","No Score","4","<30","<30","Achievement","5","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","3","-","29.34","-","12","8.18","No Rate","-","-","Achievement","5","No Score","12","No Rate","<10","-","-","No Rate","-","-","Achievement","6","3","-","140.68","-","13","12.71","109.36","8","10.53","Achievement","3","64","64","64","64","1.0000","1.0000","10","-","Achievement","6","10","-","10","66369.38","4098944","61291.78","4027116","0.0152","0.0162","0","-","Achievement","4","10","-","12","9","10","-","5","10","70","0.0%","10/07/1997","Independent","10/07/1997"
"032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER","032314","033302","1920 E CAMBRIDGE RD STE 102","PHOENIX","AZ","85016","15","No Score","3","No Rate","<11","-","-","No Rate","-","-","Achievement","3","0","-","0.9253","53","347","375","0.9547","253","265","Achievement","6","No Score","1","10","6","-","0.248","35","1","4.039","No Rate","-","-","Achievement","6","10","-","12","No Score","4,7","-","-","Achievement","5","No Rate","No Rate","Improvement","No Rate","No Rate","Improvement","No Rate","No Rate","Improvement","No Rate","No Rate","Improvement","No Rate","No Rate","Improvement","No Rate","No Rate","Improvement","8","-","19.92","-","6","7.76","9.15","2","5.89","Achievement","5","No Score","12","No Rate","<10","-","-","No Rate","-","-","Achievement","6","3","-","143.75","-","28","29.58","117.10","20","24.58","Achievement","3","20","20","20","20","1.0000","1.0000","10","-","Achievement","6","10","-","10","778814.96","4098944","691541.99","4027116","0.1717","0.1900","4","-","Achievement","4","10","-","12","9","0","-","0","10","39","1.0%","10/22/2001","Independent","10/22/2001"
"032315 GILA RIVER DIALYSIS EAST","032315","031308","565 W SEED FARM RD","SACATON","AZ","85147","15","3","-","0.1507","149","232","1539","0.1191","164","1377","Achievement","3","0","-","0.9354","140","1362","1456","0.9902","1317","1330","Achievement","6","9","-","10","3","-","0.838","155","8","9.542","1.288","11","8.538","Improvement","6","10","-","12","6","-","40","41","Achievement","5","0.6235","0.5395","Improvement","0.7034","0.5859","Achievement","0.8666","0.7708","Achievement","0.5685","0.5667","Achievement","0.6555","0.7764","Achievement","0.8101","0.7582","Achievement","3","-","28.64","-","41","39.42","17.30","17","26.44","Achievement","5","4","-","32.93","<10","25","24.08","12.16","9","23.69","Achievement","6","1","-","163.93","-","159","147.28","120.68","114","135.94","Achievement","3","131","134","144","143","0.9776","0.9931","9","-","Achievement","6","9","-","10","333558.90","4098944","329595.89","4027116","0.0818","0.0814","1","-","Achievement","4","0","-","0","9","6","-","3","10","37","1.0%","01/04/2006","Independent","01/04/2006"
"032316 Banner University Medical Center Pediatric Outpatient DIALYSIS UNIT","032316","030064","PO BOX 245148","TUCSON","AZ","85724","15","No Score","3","No Rate","<11","-","-","No Rate","-","-","Achievement","3","No Score","1","No Rate","<11","-","-","No Rate","-","-","Achievement","6","No Score","1","10","No Score","3","No Rate","<11","-","-","No Rate","-","-","Achievement","6","No Score","3","-","No Score","4,7","-","-","Achievement","5","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Score","10","No Rate","-","-","-","No Rate","-","-","Achievement","5","No Score","12","No Rate","<10","-","-","No Rate","-","-","Achievement","6","No Score","13","No Rate","-","-","-","No Rate","-","-","Achievement","3","-","-","-","-","No Rate","No Rate","No Score","1","Achievement","6","No Score","1","10","-","-","-","-","No Rate","No Rate","No Score","1","Achievement","4","10","-","12","9","No Score","1","-","10","No Score","0.0%","09/20/2012","Independent","09/20/2012"
"032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC)","032503","-","13090 N 94TH DR STE 100","PEORIA","AZ","85381","15","6","-","0.1013","122","105","1037","0.1230","126","1024","Achievement","3","9","-","0.9889","111","979","990","0.9949","981","986","Achievement","6","10","-","10","3","-","0.605","142","4","6.608","1.005","6","5.973","Improvement","6","10","-","12","5","-","43","42","Achievement","5","0.6885","0.7451","Achievement","0.6576","0.6936","Achievement","0.8451","0.9034","Achievement","0.5417","0.6176","Achievement","0.6337","0.6576","Achievement","0.7246","0.6578","Achievement","4","-","28.13","-","31","30.34","24.42","23","25.35","Achievement","5","8","-","16.25","<10","3","5.12","13.40","2","4.77","Achievement","6","4","-","136.65","-","109","121.12","127.01","90","101.97","Achievement","3","100","109","111","106","0.9174","0.9550","6","-","Achievement","6","10","-","10","472286.99","4098944","253036.63","4027116","0.0628","0.1152","2","-","Achievement","4","10","-","12","9","10","-","5","10","59","0.0%","03/26/1979","Fresenius Medical Care","03/26/1979"
"032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC)","032508","-","1021 S 7TH AVE STE 108","PHOENIX","AZ","85007","15","6","-","0.1066","79","78","732","0.0667","50","750","Achievement","3","6","-","0.9737","76","667","685","0.9836","719","731","Achievement","6","10","-","10","10","-","0.000","87","0","4.228","0.000","0","3.469","Achievement","6","10","-","12","No Score","4","<30","<30","Achievement","5","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","0","-","45.56","-","22","13.30","24.23","10","11.11","Achievement","5","No Score","12","No Rate","<10","-","-","No Rate","-","-","Achievement","6","0","-","236.58","-","77","49.42","116.29","44","54.45","Achievement","3","65","70","74","72","0.9286","0.9730","8","-","Achievement","6","10","-","10","178171.82","4098944","220071.21","4027116","0.0546","0.0435","0","-","Achievement","4","10","-","12","9","10","-","5","10","56","0.0%","02/01/1985","Fresenius Medical Care","02/01/1985"
"032509 EAST VALLEY DIALYSIS (FMC)","032509","-","135 S POWER RD STE 103","MESA","AZ","85206","15","0","-","0.2864","140","317","1107","0.2246","267","1189","Achievement","3","6","-","0.9771","132","980","1003","0.9824","1061","1080","Achievement","6","10","-","10","7","-","0.177","177","2","11.317","0.514","5","9.726","Achievement","6","10","-","12","1","-","52","53","Achievement","5","0.5033","0.4956","Achievement","0.4649","0.4517","Achievement","0.7406","0.6951","Improvement","0.4707","0.3892","Improvement","0.4596","0.4240","Achievement","0.4439","0.4365","Achievement","5","-","24.81","-","21","23.31","27.27","31","30.60","Achievement","5","5","-","30.51","<10","6","5.01","6.30","1","5.08","Achievement","6","3","-","141.65","-","101","108.27","147.55","109","106.31","Achievement","3","127","136","125","114","0.9338","0.9120","3","-","Achievement","6","10","-","10","475835.29","4098944","469703.49","4027116","0.1166","0.1161","2","-","Achievement","4","10","-","12","9","10","-","5","10","41","1.0%","09/11/1997","Fresenius Medical Care","09/11/1997"
"032514 DESERT DIALYSIS CENTER (DCI)","032514","-","2022 E PRINCE RD","TUCSON","AZ","85719","15","0","-","0.1865","36","69","370","0.1725","64","371","Achievement","3","0","-","0.8733","96","813","931","0.9074","735","810","Achievement","6","10","-","10","0","-","1.135","49","3","2.643","0.000","0","2.371","Achievement","6","10","-","12","No Score","4","<30","<30","Achievement","5","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","6","-","23.55","-","15","17.54","36.18","17","12.65","Achievement","5","9","-","11.73","<10","2","4.97","33.74","5","4.74","Achievement","6","2","-","150.85","-","76","76.50","144.07","59","58.93","Achievement","3","73","90","99","94","0.8111","0.9495","7","-","Improvement","6","2","-","10","778963.79","4098944","730931.22","4027116","0.1815","0.1900","4","-","Achievement","4","10","-","12","9","10","-","5","10","39","1.0%","01/16/1986","Dialysis Clinic, Inc.","01/16/1986"
"032516 CHANDLER DIALYSIS (FMC)","032516","-","912 W CHANDLER BLVD BLDG A-D","CHANDLER","AZ","85225","15","0","-","0.2219","125","215","969","0.2014","208","1033","Achievement","3","8","-","0.9836","121","897","912","0.9723","946","973","Achievement","6","10","-","10","1","-","0.682","157","6","8.801","0.432","4","9.252","Achievement","6","10","-","12","3","-","31","41","Achievement","5","0.6335","0.5500","Achievement","0.5722","0.4634","Improvement","0.6923","0.6800","Achievement","0.5914","0.3761","Improvement","0.5218","0.3292","Improvement","0.6010","0.4081","Improvement","1","-","32.37","-","26","22.12","36.37","35","25.90","Achievement","5","4","-","45.68","<10","9","4.47","71.60","13","5.81","Improvement","6","0","-","178.12","-","82","69.90","181.02","108","85.86","Achievement","3","111","116","108","102","0.9569","0.9444","6","-","Achievement","6","10","-","10","210065.34","4098944","226364.70","4027116","0.0562","0.0512","0","-","Achievement","4","10","-","12","9","10","-","5","10","34","1.0%","10/30/1985","Fresenius Medical Care","10/30/1985"
"032517 CENTRAL PHX DIALYSIS (FMC)","032517","-","3421 N 7TH AVE","PHOENIX","AZ","85013","15","5","-","0.1088","106","104","956","0.1004","96","956","Achievement","3","8","-","0.9844","100","881","895","0.9777","877","897","Achievement","6","10","-","10","8","-","0.162","142","1","6.190","0.000","0","6.010","Achievement","6","10","-","12","1","-","35","<30","Achievement","5","0.5848","No Rate","Achievement","0.5645","No Rate","Achievement","0.7367","No Rate","Achievement","0.4035","No Rate","Achievement","0.5313","No Rate","Achievement","0.4974","No Rate","Achievement","1","-","37.47","-","27","19.84","41.62","21","13.58","Improvement","5","No Score","12","No Rate","<10","-","-","No Rate","-","-","Achievement","6","0","-","207.48","-","83","60.75","157.60","71","64.83","Achievement","3","97","100","98","92","0.9700","0.9388","5","-","Achievement","6","10","-","10","180891.70","4098944","215423.80","4027116","0.0535","0.0441","0","-","Achievement","4","10","-","12","9","10","-","5","10","46","0.5%","09/08/1997","Fresenius Medical Care","09/08/1997"
"032521 DIALYSIS CENTER OF GLENDALE (FMC)","032521","-","5957 W NORTHERN AVE STE 108","GLENDALE","AZ","85301","15","6","-","0.1070","126","124","1159","0.0981","111","1131","Achievement","3","8","-","0.9838","118","1095","1113","0.9853","1075","1091","Achievement","6","10","-","10","8","-","0.140","137","1","7.156","0.903","6","6.643","Achievement","6","10","-","12","6","-","50","43","Achievement","5","0.6758","0.7143","Achievement","0.6387","0.5689","Achievement","0.8211","0.7814","Achievement","0.6400","0.7155","Achievement","0.6823","0.6575","Achievement","0.7296","0.7153","Achievement","5","-","28.62","-","26","25.01","41.63","32","20.69","Improvement","5","No Score","12","No Rate","<10","-","-","No Rate","-","-","Achievement","6","1","-","159.44","-","91","86.66","124.99","76","87.50","Achievement","3","109","115","112","110","0.9478","0.9821","8","-","Achievement","6","10","-","10","335624.16","4098944","280296.69","4027116","0.0696","0.0819","1","-","Achievement","4","10","-","12","9","10","-","5","10","62","0.0%","03/01/1985","Fresenius Medical Care","03/01/1985"
"032522 PARKER DIALYSIS CENTER (FMC)","032522","-","AGENCY ROAD BLDG 173","PARKER","AZ","85344","15","7","-","0.0877","53","42","479","0.0771","37","480","Achievement","3","7","-","0.9821","48","440","448","0.9845","445","452","Achievement","6","10","-","10","10","-","0.000","65","0","2.284","0.000","0","2.295","Achievement","6","10","-","12","No Score","4","<30","<30","Achievement","5","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","8","-","22.04","-","10","12.49","48.43","14","7.78","Improvement","5","9","-","10.68","<10","2","5.33","5.83","1","5.49","Achievement","6","0","-","193.50","-","45","35.31","136.75","39","41.04","Achievement","3","49","53","46","44","0.9245","0.9565","6","-","Achievement","6","10","-","10","0.19","4098944","95239.86","4027116","0.0236","0.0000","0","-","Achievement","4","10","-","12","9","10","-","5","10","69","0.0%","07/20/1988","Fresenius Medical Care","07/20/1988"
"032524 FLAGSTAFF DIALYSIS CENTER (FMC)","032524","-","2201 N VICKEY STREET, STE 120","FLAGSTAFF","AZ","86004","15","5","-","0.1194","67","69","578","0.0981","58","591","Achievement","3","8","-","0.9836","59","540","549","0.9947","564","567","Achievement","6","10","-","10","0","-","0.805","101","3","3.727","0.297","1","3.373","Achievement","6","10","-","12","No Score","4","<30","<30","Achievement","5","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","4","-","28.78","-","13","12.44","37.35","22","15.86","Improvement","5","10","-","6.24","<10","1","5.08","48.85","8","5.24","Achievement","6","6","-","120.84","-","49","61.57","161.64","59","52.53","Achievement","3","55","56","60","60","0.9821","1.0000","10","-","Achievement","6","10","-","10","368328.51","4098944","478759.79","4027116","0.1189","0.0899","1","-","Achievement","4","10","-","12","9","10","-","5","10","61","0.0%","12/08/1989","Fresenius Medical Care","12/08/1989"
"032526 USRC SOUTHWEST MESA","032526","-","1457 W SOUTHERN AVE STE 19","MESA","AZ","85202","15","1","-","0.1998","97","183","916","0.2362","206","872","Improvement","3","9","-","0.9939","85","816","821","0.9803","695","709","Achievement","6","10","-","10","10","-","0.000","114","0","7.285","0.116","1","8.626","Achievement","6","10","-","12","4","-","41","<30","Achievement","5","0.6474","No Rate","Achievement","0.6474","No Rate","Achievement","0.7500","No Rate","Achievement","0.5887","No Rate","Achievement","0.5701","No Rate","Achievement","0.7654","No Rate","Achievement","0","-","40.90","-","28","18.85","31.11","24","20.77","Achievement","5","5","-","27.36","<10","5","3.54","26.63","4","4.81","Achievement","6","1","-","188.12","-","84","67.80","208.54","85","58.65","Improvement","3","102","103","89","89","0.9903","1.0000","10","-","Achievement","6","10","-","10","164024.18","4098944","80255.99","4027116","0.0199","0.0400","0","-","Achievement","4","10","-","12","9","10","-","5","10","50","0.5%","12/07/1988","US Renal Care, Inc.","12/07/1988"
"032528 THUNDERBIRD DIALYSIS (FMC)","032528","-","5750 W THUNDERBIRD RD BLDG G #750","GLENDALE","AZ","85306","15","4","-","0.1366","157","192","1406","0.1533","200","1305","Achievement","3","5","-","0.9674","167","1306","1350","0.9435","1268","1344","Achievement","6","10","-","10","10","-","0.000","158","0","8.674","0.372","3","8.058","Achievement","6","10","-","12","5","-","50","45","Achievement","5","0.6654","0.6738","Achievement","0.6327","0.6851","Achievement","0.8008","0.8312","Achievement","0.6188","0.6769","Achievement","0.6776","0.7591","Achievement","0.6611","0.8088","Achievement","4","-","27.06","-","34","34.60","30.15","34","30.35","Achievement","5","8","-","15.95","<10","4","7.95","47.28","17","11.50","Achievement","6","1","-","164.95","-","142","130.72","182.73","165","129.94","Achievement","3","165","173","179","173","0.9538","0.9665","7","-","Achievement","6","10","-","10","591333.48","4098944","593203.74","4027116","0.1473","0.1443","3","-","Achievement","4","10","-","12","9","10","-","5","10","58","0.0%","05/03/1989","Fresenius Medical Care","05/03/1989"
"032530 DESERT VALLEY DIALYSIS (FMC)","032530","-","3815 E. BELL ROAD STE. 1100","PHOENIX","AZ","85032","15","4","-","0.1265","108","113","893","0.1327","118","889","Achievement","3","10","-","0.9952","104","835","839","0.9797","822","839","Achievement","6","10","-","10","3","-","0.557","127","4","7.180","0.721","5","6.934","Achievement","6","10","-","12","5","-","36","40","Achievement","5","0.7006","0.6857","Achievement","0.6292","0.4924","Achievement","0.7882","0.7620","Achievement","0.7073","0.6383","Achievement","0.6471","0.4868","Achievement","0.6443","0.4560","Achievement","4","-","27.61","-","29","28.92","36.85","39","28.48","Achievement","5","No Score","12","No Rate","<10","-","-","No Rate","-","-","Achievement","6","2","-","192.15","-","118","93.25","220.91","114","74.26","Improvement","3","88","98","101","98","0.8980","0.9703","7","-","Achievement","6","10","-","10","429804.75","4098944","304330.30","4027116","0.0756","0.1049","1","-","Achievement","4","10","-","12","9","10","-","5","10","55","0.0%","10/18/1989","Fresenius Medical Care","10/18/1989"
"032533 GLOBE DIALYSIS (FMC)","032533","-","2250 HIGHWAY 60 STE O-2","MIAMI","AZ","85539","15","0","-","0.1968","107","183","930","0.1590","159","1000","Achievement","3","1","-","0.9485","101","866","913","0.9627","929","965","Achievement","6","10","-","10","6","-","0.272","118","2","7.352","0.892","6","6.728","Achievement","6","10","-","12","4","-","34","50","Achievement","5","0.5530","0.4104","Improvement","0.6290","0.5472","Achievement","0.6506","0.6276","Achievement","0.5527","0.3092","Improvement","0.6249","0.5183","Achievement","0.6544","0.4367","Improvement","6","-","23.62","-","12","13.99","26.98","13","12.97","Achievement","5","4","-","34.59","<10","10","9.17","25.65","9","11.23","Achievement","6","5","-","125.31","-","58","70.28","104.58","65","89.44","Achievement","3","96","98","94","92","0.9796","0.9787","8","-","Achievement","6","10","-","10","224997.63","4098944","134506.69","4027116","0.0334","0.0549","0","-","Achievement","4","10","-","12","9","10","-","5","10","43","0.5%","10/01/1990","Fresenius Medical Care","10/01/1990"
"032536 WINSLOW DIALYSIS CENTER (FMC)","032536","-","721 MIKE'S PIKE STREET","WINSLOW","AZ","86047","15","0","-","0.2682","105","251","936","0.1920","173","901","Achievement","3","8","-","0.9855","102","882","895","0.9874","864","875","Achievement","6","10","-","10","5","-","0.367","132","3","8.185","0.159","1","6.273","Achievement","6","10","-","12","2","-","32","<30","Achievement","5","0.4610","No Rate","Achievement","0.5202","No Rate","Achievement","0.7970","No Rate","Achievement","0.2455","No Rate","Achievement","0.6326","No Rate","Achievement","0.6209","No Rate","Achievement","7","-","20.35","-","12","16.24","34.02","27","21.36","Achievement","5","6","-","26.28","<10","12","14.48","36.77","17","14.79","Achievement","6","6","-","117.09","-","72","93.37","151.48","98","93.10","Achievement","3","88","93","97","92","0.9462","0.9485","6","-","Achievement","6","9","-","10","169761.00","4098944","255859.42","4027116","0.0635","0.0414","0","-","Achievement","4","10","-","12","9","10","-","5","10","49","0.5%","07/30/1991","Fresenius Medical Care","07/30/1991"
"032537 ESTRELLA DIALYSIS CENTER (FMC)","032537","-","5546 W ROOSEVELT ST STE 1","PHOENIX","AZ","85043","15","8","-","0.0725","162","98","1351","0.0524","68","1298","Achievement","3","10","-","0.9960","146","1255","1260","0.9928","1247","1256","Achievement","6","10","-","10","10","-","0.000","173","0","7.404","0.153","1","6.537","Achievement","6","10","-","12","0","-","36","32","Achievement","5","0.4000","0.6242","Achievement","0.4036","0.4332","Achievement","0.7022","0.7616","Achievement","0.2887","0.5269","Achievement","0.3620","0.3307","Achievement","0.3467","0.4076","Achievement","0","-","36.01","-","20","15.29","33.73","20","15.96","Achievement","5","5","-","28.34","<10","5","3.97","50.94","6","3.77","Achievement","6","2","-","155.35","-","71","69.40","153.23","75","70.43","Achievement","3","122","125","144","138","0.9760","0.9583","7","-","Achievement","6","10","-","10","138177.83","4098944","151914.66","4027116","0.0377","0.0337","0","-","Achievement","4","10","-","12","9","10","-","5","10","53","0.0%","08/19/1991","Fresenius Medical Care","08/19/1991"
"032539 MESA DIALYSIS CENTER (FMC)","032539","-","1525 N GILBERT RD STE 121","GILBERT","AZ","85234","15","0","-","0.2365","89","166","702","0.2402","171","712","Achievement","3","2","-","0.9543","83","626","656","0.9775","653","668","Achievement","6","10","-","10","6","-","0.306","101","2","6.531","0.151","1","6.643","Achievement","6","10","-","12","No Score","4","<30","<30","Achievement","5","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","No Rate","No Rate","Achievement","3","-","31.23","-","19","16.75","38.45","17","11.90","Improvement","5","10","-","8.67","<10","1","3.43","No Rate","1","2.82","Achievement","6","0","-","170.15","-","63","56.22","160.23","61","54.79","Achievement","3","77","85","81","79","0.9059","0.9753","8","-","Achievement","6","10","-","10","134950.21","4098944","21937.31","4027116","0.0054","0.0329","0","-","Achievement","4","10","-","12","9","10","-","5","10","46","0.5%","09/08/1997","Fresenius Medical Care","09/08/1997"
"032540 FRESENIUS KIDNEY CARE WESTERN SKIES","032540","-","1041 N ARIZOLA RD","CASA GRANDE","AZ","85122","15","2","-","0.1558","111","148","950","0.1568","146","931","Achievement","3","7","-","0.9809","103","873","890","0.9580","845","882","Achievement","6","10","-","10","6","-","0.296","123","2","6.766","0.325","2","6.153","Achievement","6","10","-","12","3","-","38","35","Achievement","5","0.6437","0.5571","Achievement","0.6109","0.6379","Achievement","0.8237","0.7598","Achievement","0.4559","0.4380","Achievement","0.5837","0.6780","Achievement","0.5832","0.6371","Achievement","6","-","24.21","-","15","17.06","27.82","37","35.79","Achievement","5","5","-","28.55","<10","6","5.96","4.67","1","6.85","Achievement","6","6","-","130.01","-","78","91.10","195.68","124","91.19","Improvement","3","86","92","97","93","0.9348","0.9588","7","-","Achievement","6","10","-","10","199887.46","4098944","296221.41","4027116","0.0736","0.0488","0","-","Achievement","4","10","-","12","9","10","-","5","10","52","0.5%","06/24/1996","Fresenius Medical Care","06/24/1996"
"032541 TEMPE DIALYSIS (FMC)","032541","-","1449 W SOUTHERN AVE","TEMPE","AZ","85282","15","1","-","0.1834","133","199","1085","0.1741","187","1074","Achievement","3","5","-","0.9701","149","1232","1270","0.9497","1134","1194","Achievement","6","10","-","10","8","-","0.116","155","1","8.611","0.000","0","8.506","Achievement","6","10","-","12","2","-","37","<30","Achievement","5","0.5872","No Rate","Achievement","0.6216","No Rate","Achievement","0.7131","No Rate","Achievement","0.4462","No Rate","Achievement","0.6177","No Rate","Achievement","0.5859","No Rate","Achievement","0","-","34.52","-","48","38.28","31.47","45","38.49","Achievement","5","5","-","27.24","<10","6","6.19","9.94","2","6.44","Achievement","6","2","-","179.88","-","146","123.25","207.56","149","103.30","Improvement","3","131","139","141","140","0.9424","0.9929","9","-","Achievement","6","10","-","10","393627.02","4098944","350597.23","4027116","0.0871","0.0960","1","-","Achievement","4","10","-","12","9","10","-","5","10","42","1.0%","09/29/1997","Fresenius Medical Care","09/29/1997"
